crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,elapsed_sec,error
0.2,2,0.6,0.5,1,16409,-125455.25397911509,42.46652240911499,
0.2,4,0.6,0.4,0,20515,-126730.19800468427,41.522343608085066,
0.2,1,0.8,0.4,1,15736,-121507.88276437782,42.71533491881564,
0.2,2,0.6,0.3,0,13502,-120896.43678409205,42.86408626567572,
0.2,4,0.6,0.4,1,20516,-128380.60646530979,41.84796770522371,
0.2,1,0.6,0.5,0,22221,-126719.93212200022,43.37082624202594,
0.2,1,0.8,0.5,0,21260,-125390.10183064952,43.40399420587346,
0.2,1,0.7,0.4,0,15356,-125532.52190088746,44.46547919185832,
0.2,1,0.8,0.4,0,15735,-126731.21873095246,44.45792105188593,
0.2,1,0.7,0.4,1,15357,-121157.04388764566,44.99434129707515,
0.2,2,0.7,0.4,0,12718,-123485.70786577198,45.01687261974439,
0.2,2,0.6,0.1,0,16555,-121989.06452192854,45.32782194297761,
0.2,2,0.7,0.3,1,18988,-125218.24089820731,45.38626334397122,
0.2,1,0.7,0.2,0,15365,-126991.6777407599,45.783762029372156,
0.2,2,0.7,0.2,1,15430,-124207.77417536579,45.72662196774036,
0.2,2,0.9,0.2,0,18695,-119930.93658483542,45.694630776997656,
0.2,1,0.7,0.5,1,16091,-122218.65297029889,45.95612514205277,
0.2,2,0.6,0.4,0,17546,-125096.77797482531,45.87152972910553,
0.2,2,0.8,0.4,1,14714,-128222.76806419338,45.86791300913319,
0.2,3,0.7,0.4,1,14636,-121308.7723675743,45.79440115066245,
0.2,4,0.6,0.1,1,18317,-127337.9159070507,45.28894407488406,
0.2,3,0.8,0.5,1,17365,-123245.52329118474,45.71707509784028,
0.2,2,0.9,0.1,0,21656,-119591.848793548,46.3658831291832,
0.2,2,0.7,0.4,1,12719,-126662.93158083488,46.39981157705188,
0.2,2,0.9,0.4,1,19160,-121678.00445644511,46.46647180709988,
0.2,2,1.0,0.4,1,21744,-122009.18155791341,46.54399414733052,
0.2,3,1.0,0.3,1,13618,-120519.60141311132,45.88065465632826,
0.2,2,0.6,0.1,1,16556,-128045.24945490001,47.03997433464974,
0.2,2,0.6,0.2,1,20258,-125963.63415630274,47.040509110782295,
0.2,1,1.0,0.5,0,14802,-126040.4831506373,47.35029077902436,
0.2,2,0.9,0.3,0,13812,-121173.27612661969,47.22751216776669,
0.2,2,0.7,0.1,0,15215,-126595.16179996842,47.42927087191492,
0.2,4,0.8,0.4,0,21170,-122551.83437832772,46.2160980803892,
0.2,2,0.6,0.2,0,20257,-123273.39240935848,47.55388216814026,
0.2,2,1.0,0.5,0,20605,-123861.6241972802,47.42109316494316,
0.2,3,0.6,0.4,0,15975,-122797.8121696582,47.38196620857343,
0.2,2,0.6,0.5,0,16408,-125239.69295031921,47.77997902035713,
0.2,2,0.7,0.5,1,13453,-124748.9806037937,47.759120317175984,
0.2,3,0.9,0.2,0,18996,-120949.35436520878,47.20383508130908,
0.2,2,0.9,0.3,1,13813,-124460.75266852185,47.93965378776193,
0.2,1,0.8,0.2,0,20535,-123104.9733500582,48.168102100957185,
0.2,3,0.6,0.3,0,19420,-125457.52469773756,47.995937063824385,
0.2,2,0.8,0.2,0,17424,-120129.39011590333,48.41764082200825,
0.2,2,0.9,0.5,1,19894,-124055.25880182575,48.52826563408598,
0.2,2,0.9,0.2,1,18696,-121453.71112248603,48.848555060103536,
0.2,1,1.0,0.5,1,14803,-122671.92525841222,48.98596441280097,
0.2,2,0.6,0.4,1,17547,-121512.23917171593,48.97985312808305,
0.2,2,1.0,0.2,1,14455,-121626.75136635413,48.8715684870258,
